Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Moving_Avg:10,Moving_Avg:20,Moving_Avg:50,Moving_Avg:200,EMA:10,EMA:20,EMA:50,EMA:200,RSI:9,RSI:14,RSI:21,RSI:30
2003-08-18,ASIANPAINT,EQ,437.85,437.0,462.0,437.0,462.0,459.1,454.99,35565,1618172870000.0,23438.0,0.659,417.4649963378906,407.7949966430664,395.0009967041016,349.5412495422363,423.1346375258633,412.6050068912334,396.3312179453883,349.541259765625,93.58195234790998,88.1007447505144,82.32959153964948,77.40441023442261
2003-08-19,ASIANPAINT,EQ,459.1,480.0,486.0,445.35,457.0,453.6,459.32,32402,1488274885000.0,17566.0,0.5421,422.5249969482422,410.55999755859375,396.4219970703125,350.1527496337891,428.6737954490728,416.5092925304984,398.5770527751188,350.5766701769473,84.40420477103339,81.4221526942731,77.61529372633929,74.0548832151181
2003-08-20,ASIANPAINT,EQ,453.6,436.0,459.9,430.1,438.0,439.1,445.14,51251,2281365860000.0,32557.0,0.6352000000000001,425.9699981689453,412.6624984741211,397.7999969482422,350.7187496948242,430.5694701135169,418.66078906126194,400.1661881997618,351.457499390147,65.38542011497388,67.00163822752101,66.9958120256709,66.23767903812262
2003-08-21,ASIANPAINT,EQ,439.1,440.7,449.9,432.1,435.0,435.85,440.54,61399,2704891075000.0,45291.0,0.7377,429.1899993896485,414.65999908447264,399.0039971923828,351.2557496643066,431.529567566244,420.2978573510004,401.5655536077522,352.2972258251059,61.87008086321124,64.25473503956925,64.90582146722947,64.65519337348054
2003-08-22,ASIANPAINT,EQ,435.85,288.0,299.05,272.0,295.0,293.95,293.66,86635,2544136035000.0,55518.0,0.6408,418.1200012207031,409.6550003051758,397.34699768066406,351.0477497863769,406.515102955478,408.264729242051,397.34533629792,351.71665653537383,16.993473368659412,21.94709919699629,26.70844311001354,31.09785953868857
2003-08-25,ASIANPAINT,EQ,293.95,282.6,303.0,282.6,294.0,295.35,297.66,69855,2079305450000.0,40370.0,0.5779,406.7250030517578,404.7350006103516,395.7259979248047,350.84274978637694,386.30326716421206,397.510946086,393.34551942755127,351.15579434202203,17.656400010387635,22.489354022807703,27.152559974355658,31.46092862453138
2003-08-26,ASIANPAINT,EQ,295.35,296.0,305.75,296.0,305.75,304.45,301.9,41879,1264322020000.0,27272.0,0.6512000000000001,396.1550048828125,400.0525009155273,394.3519982910156,350.74724990844726,371.4208571719973,388.6480000022887,389.85942110517794,350.6910601914251,22.20000793042085,26.08397580200947,30.045655984699646,33.80630205070007
2003-08-27,ASIANPAINT,EQ,304.45,305.0,307.0,302.0,302.25,304.35,304.93,51009,1555425660000.0,36520.0,0.716,384.8600067138672,395.2525009155273,392.88099853515627,350.64399993896484,359.2261569777279,380.619619630977,386.5061107129559,350.22995517562504,22.18487352720798,26.069667212045463,30.03189322950383,33.793155536615295
2003-08-28,ASIANPAINT,EQ,304.35,304.0,308.0,302.25,305.85,304.95,305.47,98506,3009107165000.0,89892.0,0.9126,372.8550079345703,390.4425018310547,391.3339990234375,350.55774993896483,349.3577670194194,373.412990352506,383.30783234017457,349.77940847942017,22.54129518500456,26.33077689947751,30.23321505760208,33.95256764322821
2003-08-29,ASIANPAINT,EQ,304.95,309.5,309.5,303.35,305.3,307.5,306.54,84123,2578684400000.0,78556.0,0.9338,359.82000732421875,385.8925018310547,389.85599914550784,350.4957499694824,341.7472639249795,367.1355626998864,380.3349761699717,349.3587178477842,24.20125295915048,27.502673864272587,31.11765912368412,34.64440951782151
